X(E/m),Y(N/m)
330180.142718889517710,4156654.907085224520415
330180.152688900241628,4156654.962384359911084
330180.171721259597689,4156655.028598773293197
330180.199589054333046,4156655.094632499385625
330180.219302159151994,4156655.194134807214141
330180.239015263738111,4156655.293637114576995
330180.258728367858566,4156655.393139422405511
330180.287276904389728,4156655.492461042013019
330180.324660875485279,4156655.591601975727826
330180.344373978092335,4156655.691104283090681
330180.381984860752709,4156655.801341182086617
330180.409625736530870,4156655.856278944760561
330180.455391304800287,4156655.933047262951732
330180.473515999794472,4156655.954877818003297
330180.501156872254796,4156656.009815579745919
330180.493456015130505,4156656.065476090647280
330180.493229100073222,4156656.054380125366151
330180.475331320427358,4156656.043645534664392
330180.466268973075785,4156656.032730256672949
330180.484393667778932,4156656.054560811724514
330180.502291447483003,4156656.065295403823256
330180.511353797046468,4156656.076210680417717
330180.520416144398041,4156656.087125959340483
330180.520643059397116,4156656.098221923224628
330180.529932319419459,4156656.120233166962862
330180.548510846099816,4156656.164255649782717
330180.567316285276320,4156656.219374101143330
330180.595637901220471,4156656.307599758729339
330180.615350999403745,4156656.407102066092193
330180.644580273889005,4156656.539711581543088
330180.674036464537494,4156656.683417060412467
330180.703492652275600,4156656.827122539747506
330180.742011187423486,4156656.981743298936635
330180.789818979799747,4156657.158375299535692
330180.837626770371571,4156657.335007301531732
330180.876372213824652,4156657.500724024139345
330180.915117658092640,4156657.666440748143941
330180.945254583144560,4156657.843434121925384
330180.966556076891720,4156658.020608183927834
330180.987857572326902,4156658.197782244067639
330181.009159064851701,4156658.374956304673105
330181.039069071877748,4156658.540853715501726
330181.086876851390116,4156658.717485717963427
330181.116559941670857,4156658.872287163045257
330181.137634518672712,4156659.038365260697901
330181.159162921598181,4156659.226635287050158
330181.162793552153744,4156659.404170720838010
330181.175032696919516,4156659.570429503452033
330181.196107269672211,4156659.736507600173354
330181.226244186691474,4156659.913500976283103
330181.265216528554447,4156660.090313665568829
330181.277455671224743,4156660.256572448182851
330181.298757155658677,4156660.433746509719640
330181.320058639335912,4156660.610920571256429
330181.332524695200846,4156660.788275318685919
330181.362207778729498,4156660.943076765630394
330181.392117773357313,4156661.108974177855998
330181.439698620408308,4156661.274510217364877
330181.478670955635607,4156661.451322909444571
330181.508354032761417,4156661.606124354992062
330181.538264023023658,4156661.772021768614650
330181.568174012296367,4156661.937919180374593
330181.589248577132821,4156662.103997278027236
330181.610096222721040,4156662.258979412727058
330181.639779297867790,4156662.413780859671533
330181.687587048392743,4156662.590412866324186
330181.726332458085380,4156662.756129592657089
330181.764850954874419,4156662.910750354640186
330181.794987851055339,4156663.087743733543903
330181.816289321694057,4156663.264917796477675
330181.837363880127668,4156663.430995894130319
330181.867273859970737,4156663.596893308684230
330181.896956925163977,4156663.751694757491350
330181.935929240658879,4156663.928507449571043
330181.983510067104362,4156664.094043492339551
330182.022028552542906,4156664.248664256650954
330182.051938526914455,4156664.414561669342220
330182.082075416226871,4156664.591555048711598
330182.103149965754710,4156664.757633148226887
330182.123997601098381,4156664.912615282461047
330182.162969908211380,4156665.089427976869047
330182.201715302653611,4156665.255144705995917
330182.240460693719797,4156665.420861436054111
330182.269916834426112,4156665.564566920511425
330182.299826803384349,4156665.730464334599674
330182.321128260635305,4156665.907638398930430
330182.342202803993132,4156666.073716499377042
330182.371885854867287,4156666.228517948184162
330182.402022731374018,4156666.405511330347508
330182.440995030163322,4156666.582324023824185
330182.470678078068886,4156666.737125475425273
330182.500588038237765,4156666.903022890910506
330182.521889492345508,4156667.080196956172585
330182.534355521085672,4156667.257551705930382
330182.555203147872817,4156667.412533842027187
330182.576504598080646,4156667.589707907289267
330182.606641467486043,4156667.766701288521290
330182.636778338113800,4156667.943694669287652
330182.657852870761417,4156668.109772770199925
330182.669865075033158,4156668.264935591258109
330182.690939608961344,4156668.431013690773398
330182.694343304552604,4156668.597453163005412
330182.706355505972169,4156668.752615984529257
330182.718594620120712,4156668.918874770868570
330182.748731483821757,4156669.095868151634932
330182.779095261648763,4156669.283957496751100
330182.817840628325939,4156669.449674229137599
330182.839142070966773,4156669.626848295331001
330182.851835008361377,4156669.815299011301249
330182.855238702322822,4156669.981738482136279
330182.867477813502774,4156670.147997266612947
330182.870881507464219,4156670.314436738844961
330182.892182948184200,4156670.491610805504024
330182.904648973897565,4156670.668965556658804
330182.908052667626180,4156670.835405027028173
330182.920064864913002,4156670.990567848552018
330182.914633142645471,4156671.157188004814088
330182.909201418573502,4156671.323808161076158
330182.912151287018787,4156671.468055702280253
330182.924163486459292,4156671.623218523804098
330182.962455017026514,4156671.766743327490985
330182.983302628621459,4156671.921725465916097
330183.003696413827129,4156672.054515673313290
330183.015254783560522,4156672.187486565671861
330183.026813153061084,4156672.320457458030432
330183.029309194651432,4156672.442513069603592
330183.049476067943033,4156672.564207314047962
330183.087086854735389,4156672.674444223754108
330183.141914643871132,4156672.762127833906561
330183.205804761149921,4156672.860726726241410
330183.278076466114726,4156672.936953005380929
330183.376400587207172,4156672.990445301868021
330183.474951617070474,4156673.055033564101905
330183.582111149618868,4156673.108345179818571
330183.697879184794147,4156673.150380148086697
330183.830637308885343,4156673.158765855245292
330183.980839348747395,4156673.155694233253598
330184.122432888485491,4156673.163899262435734
330184.263799514155835,4156673.161008328665048
330184.431445470545441,4156673.146479383576661
330184.608153754496016,4156673.142865723930299
330184.775799713912420,4156673.128336786758155
330184.934156436531339,4156673.091796603519469
330185.101348576892633,4156673.055075743701309
330185.285984636633657,4156673.006897555664182
330185.452949867874850,4156672.959080738481134
330185.619688193604816,4156672.900167958345264
330185.795261935854796,4156672.841074500232935
330185.979898001416586,4156672.792896328493953
330186.146863242436666,4156672.745079524349421
330186.313828485319391,4156672.697262723464519
330186.489402233739384,4156672.638169279787689
330186.664749078801833,4156672.567979877348989
330186.831487417686731,4156672.509067122358829
330187.007288083143067,4156672.461069654673338
330187.191924165119417,4156672.412891511339694
330187.376787155983038,4156672.375809337943792
330187.534916995093226,4156672.328173242043704
330187.702109159610700,4156672.291452433448285
330187.877909833798185,4156672.243454985320568
330188.053710507578216,4156672.195457540918142
330188.220902676403057,4156672.158736743964255
330188.396930261515081,4156672.121835271362215
330188.582247071550228,4156672.106945053674281
330188.758728469372727,4156672.092235518619418
330188.934982962673530,4156672.066430021543056
330189.102628944267053,4156672.051901171449572
330189.279110343544744,4156672.037191647104919
330189.455364839057438,4156672.011386163067073
330189.613948503043503,4156671.985942035913467
330189.790429904009216,4156671.971232523676008
330189.966911305440590,4156671.956523013301194
330190.152228122286033,4156671.941632830072194
330190.311038692248985,4156671.927284682635218
330190.478230871842243,4156671.890563930850476
330190.663093885174021,4156671.853481830563396
330190.839348387205973,4156671.827676374930888
330190.997478255536407,4156671.780040346551687
330191.164897342328914,4156671.754415574483573
330191.359276481205598,4156671.750440706964582
330191.535757886129431,4156671.735731230117381
330191.703403878374957,4156671.721202433574945
330191.888720701448619,4156671.706312290392816
330192.064975206856616,4156671.680506860837340
330192.250292031094432,4156671.665616726502776
330192.444217370706610,4156671.639449954032898
330192.629534196108580,4156671.624559827148914
330192.832521852571517,4156671.609308356884867
330193.017838678846601,4156671.594418237451464
330193.194093190948479,4156671.568612833041698
330193.379410016117617,4156671.553722723387182
330193.573562259320170,4156671.538651943206787
330193.758652189048007,4156671.512665876187384
330193.943742117553484,4156671.486679814290255
330194.129058947204612,4156671.471789721399546
330194.323211192619056,4156671.456718959379941
330194.508301125606522,4156671.430732909590006
330194.693617956945673,4156671.415842829272151
330194.887316410080530,4156671.378580150194466
330195.081241759238765,4156671.352413443848491
330195.257723177026492,4156671.337704047560692
330195.433977699023671,4156671.311898688785732
330195.628129948920105,4156671.296827958896756
330195.822282197070308,4156671.281757232733071
330195.998536723549478,4156671.255951887462288
330196.183626662124880,4156671.229965875856578
330196.377325124456547,4156671.192703233100474
330196.562415067281108,4156671.166717229411006
330196.738442700996529,4156671.129815936554223
330196.941203477326781,4156671.103468601591885
330197.135582624643575,4156671.099493870977312
330197.320445677381940,4156671.062411919701844
330197.505535624921322,4156671.036425937898457
330197.699234093888663,4156670.999163326341659
330197.884324043523520,4156670.973177352920175
330198.060351685795467,4156670.936276087071747
330198.254277053463738,4156670.910109452903271
330198.448202422121540,4156670.883942824788392
330198.642354683717713,4156670.868872165679932
330198.818836113903672,4156670.854162844363600
330198.995317542343400,4156670.839453526772559
330199.189016022835858,4156670.802190951537341
330199.365270561655052,4156670.776385679375380
330199.532916578347795,4156670.761857040226460
330199.709171121008694,4156670.736051774583757
330199.894487968413159,4156670.721161812078208
330200.053298570564948,4156670.706813850440085
330200.211882283329032,4156670.681369928643107
330200.379528300254606,4156670.666841308586299
330200.538112014415674,4156670.641397392842919
330200.679251784225926,4156670.627410775516182
330200.811556140426546,4156670.613604826387018
330200.943860494880937,4156670.599798880051821
330201.067556322086602,4156670.597269564867020
330201.182643621752504,4156670.606016881298274
330201.279833200620487,4156670.604029565118253
330201.359125059156213,4156670.591307615395635
330201.412137555540539,4156670.590223625767976
330201.447932998358738,4156670.611692895647138
330201.492563854670152,4156670.632981499191374
330201.546483905054629,4156670.676281367894262
330201.592022312688641,4156670.741953831631690
330201.637787609710358,4156670.818722258787602
330201.656592880666722,4156670.873840751126409
330201.666562735801563,4156670.929139907471836
330201.676759476424195,4156670.995535029098392
330201.669058502418920,4156671.051195516716689
330201.678574579302222,4156671.084302744828165
330201.679028354992624,4156671.106494672130793
330201.705307715979870,4156671.094856715295464
330201.722297883592546,4156671.061207492370158
330201.721617220202461,4156671.027919601183385
330201.729771972401068,4156670.994451041799039
330201.728637533436995,4156670.938971219584346
330201.727049318957143,4156670.861299468670040
330201.725687992293388,4156670.794723683036864
330201.733615857025143,4156670.750159160234034
330201.750832913327031,4156670.727605902589858
330201.750606025569141,4156670.716509937308729
330201.741770611901302,4156670.716690601781011
330201.732935193693265,4156670.716871266718954
330201.715264361933805,4156670.717232595197856
330201.671087280032225,4156670.718135918956250
330201.609239368583076,4156670.719400571659207
330201.530174399144016,4156670.743218485265970
330201.451336320489645,4156670.778132361359894
330201.372725128429011,4156670.824142204131931
330201.276216217316687,4156670.859417411033064
330201.180161083932035,4156670.916884549893439
330201.084105952060781,4156670.974351690150797
330200.979442294512410,4156671.043095460627228
330200.857788474531844,4156671.145488456357270
330200.753805488231592,4156671.247520123608410
330200.667720224417280,4156671.360286423936486
330200.599532682681456,4156671.483787358738482
330200.522509727976285,4156671.607468960341066
330200.454322192817926,4156671.730969895143062
330200.412867793755140,4156671.865024799481034
330200.353742564679123,4156671.999441035091877
330200.303679641860072,4156672.144772569648921
330200.244554419070482,4156672.279188805725425
330200.212162330804858,4156672.424159008543938
330200.179543351521716,4156672.558033246546984
330200.155759789631702,4156672.691726819146425
330200.123140812735073,4156672.825601058080792
330200.099357252824120,4156672.959294630214572
330200.057902866974473,4156673.093349535483867
330199.998777653730940,4156673.227765773888677
330199.930817031650804,4156673.362362680491060
330199.889589539146982,4156673.507513551972806
330199.866032876248937,4156673.652303090319037
330199.926559368497692,4156674.883232479915023
330199.911838122119661,4156675.027841351926327
330199.905952287546825,4156675.172269557602704
330199.908901864604559,4156675.316517095081508
330199.885798987816088,4156675.483498563058674
330199.871304636821151,4156675.639203398954123
330199.865191911347210,4156675.772535639815032
330199.876976902363822,4156675.916602511424571
330199.906432711519301,4156676.060308049898595
330199.909155398723669,4156676.193459624424577
330199.938611206714995,4156676.337165162432939
330199.950623084674589,4156676.492327997926623
330199.954026443359908,4156676.658767466899008
330199.957202911493368,4156676.814110968727618
330199.969214789220132,4156676.969273805152625
330199.980772885377519,4156677.102244713343680
330199.992557874240447,4156677.246311584487557
330200.013178269495256,4156677.390197791159153
330200.024963255506009,4156677.534264662303030
330200.037202020175755,4156677.700523464009166
330200.031543081742711,4156677.856047634035349
330200.034719549701549,4156678.011391138192266
330200.037896017776802,4156678.166734640952200
330200.049454110441729,4156678.299705547280610
330200.069847615202889,4156678.432495789136738
330200.081178818945773,4156678.554370732512325
330200.083901505684480,4156678.687522307503968
330200.077788785099983,4156678.820854548364878
330200.071676064748317,4156678.954186789225787
330200.065563342650421,4156679.087519031949341
330200.076667657936923,4156679.198298010043800
330200.078936564095784,4156679.309257654473186
330200.080978579586372,4156679.409121335484087
330200.083020595135167,4156679.508985016960651
330200.084835720132105,4156679.597752734087408
330200.086197063850705,4156679.664328521117568
330200.070114485453814,4156679.742361606098711
330200.062867313798051,4156679.820214024744928
330200.055166358652059,4156679.875874513760209
330200.055620140046813,4156679.898066442925483
330200.055847030773293,4156679.909162407740951
330200.055620140046813,4156679.898066442925483
330200.055393249378540,4156679.886970479041338
330200.054939468041994,4156679.864778550341725
330200.054031905310694,4156679.820394692011178
330200.061279079120141,4156679.742542272433639
330200.068072469672188,4156679.642497925087810
330200.065803563164081,4156679.531538278795779
330200.063080875435844,4156679.398386704735458
330200.051522780966479,4156679.265415797475725
330200.039510902715847,4156679.110252960119396
330200.036334433592856,4156678.954909456428140
330200.006651742616668,4156678.800107953138649
330199.994412975036539,4156678.633849150966853
330199.964049610367510,4156678.445759754627943
330199.959965577814728,4156678.246032393071800
330199.920539912767708,4156678.047027698252350
330199.907847359776497,4156677.858576967846602
330199.877257100888528,4156677.659391606226563
330199.846893731737509,4156677.471302211284637
330199.816757249995135,4156677.294308778829873
330199.795002399303485,4156677.094942749943584
330199.764412134012673,4156676.895757389720529
330199.742430388694629,4156676.685295398812741
330199.703004713752307,4156676.486290705390275
330199.663579034968279,4156676.287286011036485
330199.624153357057367,4156676.088281319011003
330199.584727677516639,4156675.889276625588536
330199.554137407103553,4156675.690091264899820
330199.532382544421125,4156675.490725239738822
330199.510854574269615,4156675.302455177530646
330199.471655780740548,4156675.114546449854970
330199.449900915555190,4156674.915180422365665
330199.428372945170850,4156674.726910360157490
330199.398463340126909,4156674.561012894380838
330199.368326845229603,4156674.384019464720041
330199.329354934743606,4156674.207206701394171
330199.298991546384059,4156674.019117307383567
330199.242802592809312,4156673.864857808221132
330199.177551330882125,4156673.699683012906462
330199.086247612722218,4156673.557242149952799
330198.995170778827742,4156673.425897252280265
330198.895258533302695,4156673.294733022805303
330198.786737760878168,4156673.174845425877720
330198.669154677656479,4156673.044042535126209
330198.552252271736506,4156672.946527537424117
330198.426741337170824,4156672.860289175529033
330198.284013359632809,4156672.796604079660028
330198.123614551906940,4156672.733280325774103
330197.981340353202540,4156672.691787165589631
330197.830003848066553,4156672.639378711115569
330197.669831924606115,4156672.587150929495692
330197.509660001145676,4156672.534923148807138
330197.349941860826220,4156672.504887302406132
330197.173006678756792,4156672.497404725756496
330196.996071498375386,4156672.489922153297812
330196.819363209709991,4156672.493535548914224
330196.651490335178096,4156672.496968278195709
330196.466173529392108,4156672.511858316604048
330196.271794412401505,4156672.515833064913750
330196.094859228236601,4156672.508350511081517
330195.918377837224398,4156672.523059891071171
330195.733287926064804,4156672.549045909661800
330195.548198015836533,4156672.575031931977719
330195.380325142061338,4156672.578464687336236
330195.213132958102506,4156672.615185338538140
330195.045486984017771,4156672.629714067094028
330194.868778696865775,4156672.633327504154295
330194.701132723363116,4156672.647856237832457
330194.524878231459297,4156672.673661609645933
330194.357459156715777,4156672.699286315590143
330194.181431564560626,4156672.736187661532313
330194.005177075567190,4156672.761993046849966
330193.837984899873845,4156672.798713726457208
330193.661503516370431,4156672.813423155341297
330193.485249029938132,4156672.839228549972177
330193.308767645386979,4156672.853937985375524
330193.115296133793890,4156672.902296665590256
330192.921824621967971,4156672.950655351392925
330192.754405553801917,4156672.976280089467764
330192.578377972822636,4156673.013181469403207
330192.393288081279024,4156673.039167563896626
330192.208198188454844,4156673.065153662115335
330192.031716809375212,4156673.079863124061376
330191.864524648990482,4156673.116583845112473
330191.688723975268658,4156673.164581208955497
330191.503634086577222,4156673.190567323006690
330191.327833416173235,4156673.238564694300294
330191.151805847766809,4156673.275466104969382
330190.966489060199820,4156673.290356265846640
330190.790234589250758,4156673.316161720082164
330190.622815535054542,4156673.341786501929164
330190.446787968860008,4156673.378687927033752
330190.261924990685657,4156673.415770034771413
330190.085897427285090,4156673.452671466860920
330189.918932184693404,4156673.500488190911710
