X(E/m),Y(N/m)
330180.467786120483652,4156653.945785489398986
330180.423382030508947,4156653.935592957772315
330180.387813377194107,4156653.925219741184264
330180.343182371871080,4156653.903931244742125
330180.316222237772308,4156653.882281375117600
330180.297870623064227,4156653.849354855716228
330180.288808273267932,4156653.838439578656107
330180.279292093007825,4156653.805332371033728
330180.287446782225743,4156653.771863791625947
330180.295374556444585,4156653.727299246005714
330180.285858376184478,4156653.694192039780319
330180.277249856502749,4156653.705468691419810
330180.268641334609129,4156653.716745342127979
330180.277022941329051,4156653.694372727070004
330180.285858376184478,4156653.694192039780319
330180.303529245837126,4156653.693830666132271
330180.312591595808044,4156653.704745945055038
330180.312818510923535,4156653.715841908007860
330180.322107775951736,4156653.737853149417788
330180.340005560545251,4156653.748587741982192
330180.349521740572527,4156653.781694948673248
330180.359718667925335,4156653.848090048879385
330180.378751025302336,4156653.914304462727159
330180.380339430645108,4156653.991976215504110
330180.391217102762312,4156654.091659207828343
330180.419765641097911,4156654.190980828832835
330180.457376527949236,4156654.301217728760093
330180.513112114218529,4156654.433285183273256
330180.551176828681491,4156654.565714010503143
330180.580633023171686,4156654.709419490769506
330180.619151567458175,4156654.864040247630328
330180.658123937901109,4156655.040852935053408
330180.688033958896995,4156655.206750342622399
330180.717717066523619,4156655.361551788169891
330180.765524866059422,4156655.538183787837625
330180.813332663907204,4156655.714815788436681
330180.869975894689560,4156655.891267105005682
330180.908948256517760,4156656.068079791497439
330180.939085187041201,4156656.245073166210204
330180.951778165064752,4156656.433523877523839
330180.964471140585374,4156656.621974589303136
330180.985772637301125,4156656.799148650374264
330181.007301045698114,4156656.987418675329536
330181.028602538979612,4156657.164592735003680
330181.049677117262036,4156657.330670832190663
330181.071205525891855,4156657.518940856680274
330181.075516899407376,4156657.729764184914529
330181.070539011736400,4156657.918576267547905
330181.074396556941792,4156658.107207666151226
330181.095924964407459,4156658.295477691572160
330181.126288798637688,4156658.483567031100392
330181.147590287902858,4156658.660741092637181
330181.168891776585951,4156658.837915153242648
330181.190420179045759,4156659.026185180060565
330181.203113151830621,4156659.214635891839862
330181.207197610056028,4156659.414363253861666
330181.228499098913744,4156659.591537315398455
330181.258636013371870,4156659.768530691973865
330181.288772926782258,4156659.945524067152292
330181.319136753445491,4156660.133613407146186
330181.340438239276409,4156660.310787469148636
330181.362193548528012,4156660.510153461247683
330181.374432691489346,4156660.676412242930382
330181.395961087604519,4156660.864682270213962
330181.426324910018593,4156661.052771609742194
330181.456461817258969,4156661.229764987714589
330181.477536385005806,4156661.395843085367233
330181.498837864026427,4156661.573017147835344
330181.520366256532725,4156661.761287175118923
330181.541894648340531,4156661.949557201936841
330181.545525273890235,4156662.127092637121677
330181.557991325156763,4156662.304447385016829
330181.588128226925619,4156662.481440761592239
330181.618265127879567,4156662.658434138167650
330181.639566604921129,4156662.835608201101422
330181.660868079052307,4156663.012782263103873
330181.682396466610953,4156663.201052292715758
330181.686254004656803,4156663.389683690387756
330181.707555477390997,4156663.566857753321528
330181.728856951696798,4156663.744031817652285
330181.768056184751913,4156663.931940474081784
330181.798193078837357,4156664.108933852054179
330181.828329971875064,4156664.285927229095250
330181.858693780144677,4156664.474016573280096
330181.889057584980037,4156664.662105914205313
330181.910585965961218,4156664.850375943817198
330181.922825095884036,4156665.016634728293866
330181.962024320731871,4156665.204543386120349
330182.001223546452820,4156665.392452041618526
330182.031360432622023,4156665.569445420987904
330182.052661895751953,4156665.746619485318661
330182.083252607495524,4156665.945804793853313
330182.096172477235086,4156666.145351471845061
330182.117247024842072,4156666.311429571826011
330182.138775399129372,4156666.499699601903558
330182.177974614663981,4156666.687608260195702
330182.216946917353198,4156666.864420952741057
330182.238475288962945,4156667.052690984681249
330182.259776746272109,4156667.229865048546344
330182.281305116601288,4156667.418135077692568
330182.293771152733825,4156667.595489827450365
330182.315299521898851,4156667.783759857527912
330182.354498731729109,4156667.971668518148363
330182.393471024523024,4156668.148481211159378
330182.423834810033441,4156668.336570555809885
330182.445136262278538,4156668.513744622468948
330182.475500048138201,4156668.701833967585117
330182.487966080254409,4156668.879188717342913
330182.509494443889707,4156669.067458746954799
330182.530795893515460,4156669.244632812682539
330182.569768180837855,4156669.421445509418845
330182.591069628833793,4156669.598619574680924
330182.620979580678977,4156669.764516990631819
330182.651343357982114,4156669.952606337610632
330182.672871716902591,4156670.140876367688179
330182.694173164200038,4156670.318050433415920
330182.724310025689192,4156670.495043814182281
330182.763282302650623,4156670.671856510918587
330182.810863083985168,4156670.837392558809370
330182.840773028787225,4156671.003289976622909
330182.861847556545399,4156671.169368076603860
330182.883148996683303,4156671.346542145125568
330182.895615020301193,4156671.523896896280348
330182.916462633525953,4156671.678879034239799
330182.937537161167711,4156671.844957134686410
330182.967447101371363,4156672.010854552965611
330183.005965542746708,4156672.165475320070982
330183.035421655105893,4156672.309180808719248
330183.064650853804778,4156672.441790331155062
330183.102715468558017,4156672.574219171423465
330183.131944665568881,4156672.706828693859279
330183.187226281734183,4156672.816704235970974
330183.251343308482319,4156672.926399093586951
330183.333584989188239,4156673.057924511376768
330183.406537428614683,4156673.167438684962690
330183.479262951528654,4156673.265856896061450
330183.569659302535001,4156673.363913737237453
330183.677953390986659,4156673.472705178428441
330183.768803561513778,4156673.592953952029347
330183.885252322303131,4156673.668276816140860
330184.001927992678247,4156673.754695647396147
330184.144429168081842,4156673.807284535840154
330184.295765752496663,4156673.859692742582411
330184.447102334932424,4156673.912100952118635
330184.607274330686778,4156673.964328481350094
330184.784890239650849,4156674.005098684690893
330184.962279236235190,4156674.034772924147546
330185.130605906015262,4156674.053531887475401
330185.316376493196003,4156674.060833525378257
330185.501693260157481,4156674.045943235978484
330185.669339199550450,4156674.031414315104485
330185.855109785916284,4156674.038715963251889
330186.031818049843423,4156674.035102333407849
330186.217588633124251,4156674.042403991334140
330186.394296896643937,4156674.038790369406343
330186.579613664827775,4156674.023900103755295
330186.756095018237829,4156674.009190524928272
330186.932576374325436,4156673.994480947498232
330187.100449225399643,4156673.991048021242023
330187.268322076415643,4156673.987615096848458
330187.453865751042031,4156673.983820816501975
330187.639409427880310,4156673.980026541277766
330187.815890782861970,4156673.965316985733807
330187.992145234195050,4156673.939511467237025
330188.177235099370591,4156673.913525274023414
330188.344427233561873,4156673.876804478000849
330188.520908593374770,4156673.862094937358052
330188.705998459074181,4156673.836108755320311
